,name,symbol,total_supply,MarketCap,price
BTC,Bitcoin,BTC,19155375,494952563998.09406,25838.834478473746
ETH,Ethereum,ETH,122441143.499,221937513825.87115,1812.6056935076222
BNB,BNB,BNB,161337261.09,57947487304.77882,359.169896112551
XRP,XRP,XRP,99989294935,25114463689.781345,0.5038133345752905
ADA,Cardano,ADA,34854947575.48,20378417468.68929,0.5961731655864693
SOL,Solana,SOL,511616946.142289,15280953407.732101,43.17530007278962
DOGE,Dogecoin,DOGE,132670764299.89409,10267778466.471157,0.07739292466320219
DOT,Polkadot,DOT,1233868647.4764404,9435239384.787378,8.436033580140382
MATIC,Polygon,MATIC,10000000000,8819364777.943047,1.009737143503058
SHIB,Shiba Inu,SHIB,589735030408322.8,7951930151.327822,1.4482720766906918e-05
AVAX,Avalanche,AVAX,404229626.49901325,6755504090.966705,22.841890429523758
UNI,Uniswap,UNI,1000000000,5547772076.632566,7.278541318628427
ETC,Ethereum Classic,ETC,210700000,5439789424.521476,39.719429195803464
LTC,Litecoin,LTC,84000000,4949722287.58264,69.51208518081394
ATOM,Cosmos,ATOM,0,5875556919.161713,20.51734059263036
NEAR,NEAR Protocol,NEAR,1000000000,4217979737.1897345,5.358206409391706
LINK,Chainlink,LINK,1000000000,4721434006.683377,9.604219467984741
CRO,Cronos,CRO,30263013692,3485845904.590739,0.1379821879958287
XLM,Stellar,XLM,50001787588.2682,3743745923.7534833,0.14757787906719735
FLOW,Flow,FLOW,1392681892,2317822379.4830985,2.236848465048348
VET,VeChain,VET,85985041177,2188834369.4169173,0.0301861779539258
