,name,symbol,total_supply,quote,price,MarketCap,Prop,total coin value,additional capital needed,percent capital invested
BTC,Bitcoin,BTC,19155375,"{'CAD': {'price': 25833.851995440808, 'volume_24h': 53369274292.54041, 'volume_change_24h': 28.3137, 'percent_change_1h': -0.2992849, 'percent_change_24h': -0.51962741, 'percent_change_7d': -13.59075896, 'percent_change_30d': -8.19067935, 'percent_change_60d': -16.25917927, 'percent_change_90d': -5.79713819, 'market_cap': 494857122667.16693, 'market_cap_dominance': 39.7029, 'fully_diluted_market_cap': 542510891904.25195, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",25833.851995440808,494857122667.16693,0.537188318360189,1074.376636720378,,
ETH,Ethereum,ETH,122441143.499,"{'CAD': {'price': 1812.5825516319687, 'volume_24h': 24706065133.655167, 'volume_change_24h': 16.4523, 'percent_change_1h': -0.95301212, 'percent_change_24h': 1.03924447, 'percent_change_7d': -20.21971755, 'percent_change_30d': -13.71350907, 'percent_change_60d': -13.93666007, 'percent_change_90d': 21.9751028, 'market_cap': 221934680308.15347, 'market_cap_dominance': 17.8027, 'fully_diluted_market_cap': 221934680308.15683, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",1812.5825516319687,221934680308.15347,0.24091947400488176,481.8389480097635,,
BNB,BNB,BNB,161337261.09,"{'CAD': {'price': 359.08698454507146, 'volume_24h': 1428221410.7903287, 'volume_change_24h': 34.88, 'percent_change_1h': -0.58284603, 'percent_change_24h': 0.23913648, 'percent_change_7d': -8.15599039, 'percent_change_30d': -4.78283086, 'percent_change_60d': 1.46976967, 'percent_change_90d': 23.71649358, 'market_cap': 57934110579.568985, 'market_cap_dominance': 4.6481, 'fully_diluted_market_cap': 71817396909.01643, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",359.08698454507146,57934110579.568985,0.06288992521759405,125.77985043518811,,
XRP,XRP,XRP,99989294935,"{'CAD': {'price': 0.5044635824649212, 'volume_24h': 3676092996.065438, 'volume_change_24h': 8.2955, 'percent_change_1h': -1.26430231, 'percent_change_24h': 4.10773587, 'percent_change_7d': 5.0039603, 'percent_change_30d': 12.84773602, 'percent_change_60d': 3.3485527, 'percent_change_90d': 16.41564334, 'market_cap': 25146877732.627693, 'market_cap_dominance': 2.0177, 'fully_diluted_market_cap': 50446358246.49537, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",0.5044635824649212,25146877732.627693,0.027297998437187755,54.59599687437551,,
ADA,Cardano,ADA,34854947575.48,"{'CAD': {'price': 0.5964383285646618, 'volume_24h': 1024723768.2434195, 'volume_change_24h': 13.0239, 'percent_change_1h': -0.94178402, 'percent_change_24h': -0.52336818, 'percent_change_7d': -11.00116404, 'percent_change_30d': -0.49540263, 'percent_change_60d': -10.49933576, 'percent_change_90d': -5.47736854, 'market_cap': 20387481281.317516, 'market_cap_dominance': 1.636, 'fully_diluted_market_cap': 26839724785.415154, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",0.5964383285646618,20387481281.317516,0.022131472466400917,44.26294493280184,,
SOL,Solana,SOL,511616946.142289,"{'CAD': {'price': 43.1576846746058, 'volume_24h': 1290432445.1275034, 'volume_change_24h': 39.2464, 'percent_change_1h': -0.7525099, 'percent_change_24h': 2.59541582, 'percent_change_7d': -13.28208493, 'percent_change_30d': -8.01538584, 'percent_change_60d': -24.66778176, 'percent_change_90d': -10.59942248, 'market_cap': 15274718822.715855, 'market_cap_dominance': 1.2256, 'fully_diluted_market_cap': 22080202835.794003, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",43.1576846746058,15274718822.715855,0.0165813527621351,33.162705524270194,,
DOGE,Dogecoin,DOGE,132670764299.89409,"{'CAD': {'price': 0.07735139414653967, 'volume_24h': 399327849.09857184, 'volume_change_24h': 11.3995, 'percent_change_1h': -0.54300985, 'percent_change_24h': 0.12106958, 'percent_change_7d': -9.49331033, 'percent_change_30d': -16.00297462, 'percent_change_60d': -17.41655228, 'percent_change_90d': -9.88768856, 'market_cap': 10262268581.08377, 'market_cap_dominance': 0.8232, 'fully_diluted_market_cap': 10262268581.088003, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",0.07735139414653967,10262268581.08377,0.011140126208390043,22.280252416780087,,
DOT,Polkadot,DOT,1233868647.4764404,"{'CAD': {'price': 8.439209417165326, 'volume_24h': 544555339.0986373, 'volume_change_24h': 27.582, 'percent_change_1h': -0.71439892, 'percent_change_24h': -2.63336056, 'percent_change_7d': -17.25017413, 'percent_change_30d': -12.16427305, 'percent_change_60d': -16.31890063, 'percent_change_90d': -17.19298405, 'market_cap': 9438791383.756176, 'market_cap_dominance': 0.7573, 'fully_diluted_market_cap': 10412875909.323822, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",8.439209417165326,9438791383.756176,0.010246206912137137,20.492413824274276,,
MATIC,Polygon,MATIC,10000000000,"{'CAD': {'price': 1.0092099432365917, 'volume_24h': 536583625.26690376, 'volume_change_24h': 16.4777, 'percent_change_1h': -0.85629107, 'percent_change_24h': -0.3322619, 'percent_change_7d': -18.90084288, 'percent_change_30d': -4.00278323, 'percent_change_60d': -17.7650944, 'percent_change_90d': 83.1987697, 'market_cap': 8814760043.442677, 'market_cap_dominance': 0.7073, 'fully_diluted_market_cap': 10092099432.36261, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",1.0092099432365917,8814760043.442677,0.009568794521869232,19.137589043738465,,
SHIB,Shiba Inu,SHIB,589735030408322.8,"{'CAD': {'price': 1.4476392184251103e-05, 'volume_24h': 450880542.40020204, 'volume_change_24h': 18.9386, 'percent_change_1h': -0.79344303, 'percent_change_24h': 0.31761077, 'percent_change_7d': -15.16957589, 'percent_change_30d': -15.65780944, 'percent_change_60d': -10.1358771, 'percent_change_90d': 5.24321485, 'market_cap': 7948455358.984181, 'market_cap_dominance': 0.6376, 'fully_diluted_market_cap': 8537235584.987894, 'tvl': None, 'last_updated': '2022-09-20T00:47:16.000Z'}}",1.4476392184251103e-05,7948455358.984181,0.008628384178528953,17.256768357057908,,
