,name,symbol,total_supply,quote
BTC,Bitcoin,BTC,19137843,"{'CAD': {'price': 26544.68864285687, 'volume_24h': 44587907529.55707, 'volume_change_24h': -0.9428, 'percent_change_1h': 0.12591836, 'percent_change_24h': 0.67975393, 'percent_change_7d': -8.4974039, 'percent_change_30d': -12.35305793, 'percent_change_60d': 4.99281107, 'percent_change_90d': -33.32207794, 'market_cap': 508008083730.87775, 'market_cap_dominance': 39.2724, 'fully_diluted_market_cap': 557438461499.9893, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
ETH,Ethereum,ETH,122188114.749,"{'CAD': {'price': 2063.9306671269615, 'volume_24h': 28115950954.874744, 'volume_change_24h': 1.4413, 'percent_change_1h': -0.10281553, 'percent_change_24h': 1.41723678, 'percent_change_7d': -8.0840991, 'percent_change_30d': -3.51770296, 'percent_change_60d': 47.69974912, 'percent_change_90d': -13.98067662, 'market_cap': 252187797188.88928, 'market_cap_dominance': 19.5113, 'fully_diluted_market_cap': 252187797188.89325, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
BNB,BNB,BNB,161337261.09,"{'CAD': {'price': 370.61867267826847, 'volume_24h': 1250146740.451406, 'volume_change_24h': -3.4523, 'percent_change_1h': -0.12102346, 'percent_change_24h': -0.68995924, 'percent_change_7d': -7.26652434, 'percent_change_30d': 0.19253206, 'percent_change_60d': 29.47194568, 'percent_change_90d': -7.67953955, 'market_cap': 59794601558.72305, 'market_cap_dominance': 4.6225, 'fully_diluted_market_cap': 74123734535.64862, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
XRP,XRP,XRP,99989318921,"{'CAD': {'price': 0.43379731055234044, 'volume_24h': 1161789328.6435392, 'volume_change_24h': -7.3302, 'percent_change_1h': 0.24052166, 'percent_change_24h': 0.36152627, 'percent_change_7d': -7.45592158, 'percent_change_30d': -12.60380829, 'percent_change_60d': 4.87250713, 'percent_change_90d': -17.44109281, 'market_cap': 21536514872.367466, 'market_cap_dominance': 1.6662, 'fully_diluted_market_cap': 43379731055.23338, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
ADA,Cardano,ADA,34277702081.605,"{'CAD': {'price': 0.5955722612486446, 'volume_24h': 681942501.4347876, 'volume_change_24h': -16.6415, 'percent_change_1h': -0.18599755, 'percent_change_24h': -0.3263139, 'percent_change_7d': -4.13681495, 'percent_change_30d': -10.99473461, 'percent_change_60d': -1.08706119, 'percent_change_90d': -22.45436038, 'market_cap': 20102091502.449013, 'market_cap_dominance': 1.554, 'fully_diluted_market_cap': 26800751756.184563, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
SOL,Solana,SOL,511616946.142289,"{'CAD': {'price': 42.154263961893285, 'volume_24h': 993518620.5837592, 'volume_change_24h': -12.4683, 'percent_change_1h': -0.05639584, 'percent_change_24h': 0.49242769, 'percent_change_7d': -11.98020233, 'percent_change_30d': -22.48963325, 'percent_change_60d': -2.95616893, 'percent_change_90d': -21.2307752, 'market_cap': 14733339470.306309, 'market_cap_dominance': 1.139, 'fully_diluted_market_cap': 21566835795.05624, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
DOGE,Dogecoin,DOGE,132670764299.89409,"{'CAD': {'price': 0.08124947186875006, 'volume_24h': 387149052.1295634, 'volume_change_24h': -7.8486, 'percent_change_1h': -0.10861623, 'percent_change_24h': -0.16255038, 'percent_change_7d': -12.05985112, 'percent_change_30d': -9.33176627, 'percent_change_60d': -7.16061483, 'percent_change_90d': -24.87562921, 'market_cap': 10779429531.789816, 'market_cap_dominance': 0.8333, 'fully_diluted_market_cap': 10779429531.78815, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
DOT,Polkadot,DOT,1227703369.0683095,"{'CAD': {'price': 9.289456212335955, 'volume_24h': 359003501.3457665, 'volume_change_24h': -6.7387, 'percent_change_1h': -0.38865226, 'percent_change_24h': -0.06348793, 'percent_change_7d': -9.51054091, 'percent_change_30d': -14.06953774, 'percent_change_60d': 3.5068003, 'percent_change_90d': -28.65736794, 'market_cap': 10332473557.344532, 'market_cap_dominance': 0.7987, 'fully_diluted_market_cap': 11404696688.699312, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
MATIC,Polygon,MATIC,10000000000,"{'CAD': {'price': 1.095788708906255, 'volume_24h': 568078656.0285592, 'volume_change_24h': -3.5838, 'percent_change_1h': 0.09513865, 'percent_change_24h': 2.04341605, 'percent_change_7d': -1.62480257, 'percent_change_30d': -7.6344567, 'percent_change_60d': 74.38557441, 'percent_change_90d': 35.81281471, 'market_cap': 9513774220.271484, 'market_cap_dominance': 0.7355, 'fully_diluted_market_cap': 10957887089.068943, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
SHIB,Shiba Inu,SHIB,589735030408322.8,"{'CAD': {'price': 1.6030785086414997e-05, 'volume_24h': 386956807.54250675, 'volume_change_24h': -23.4189, 'percent_change_1h': 0.01280623, 'percent_change_24h': -0.63033967, 'percent_change_7d': -9.63861585, 'percent_change_30d': 2.13493455, 'percent_change_60d': 21.21243587, 'percent_change_90d': 8.92127512, 'market_cap': 8801915422.50834, 'market_cap_dominance': 0.6804, 'fully_diluted_market_cap': 9453915530.410925, 'tvl': None, 'last_updated': '2022-08-31T20:30:10.000Z'}}"
