,name,symbol,total_supply,quote
BTC,Bitcoin,BTC,19147081,"{'CAD': {'price': 28203.23660291704, 'volume_24h': 47235586327.1469, 'volume_change_24h': -27.2871, 'percent_change_1h': 0.12727886, 'percent_change_24h': 0.94504085, 'percent_change_7d': 7.36748819, 'percent_change_30d': -9.69833611, 'percent_change_60d': 11.1342753, 'percent_change_90d': -16.27056521, 'market_cap': 540009655698.2174, 'market_cap_dominance': 39.0371, 'fully_diluted_market_cap': 592267968661.2642, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
ETH,Ethereum,ETH,122320055.8115,"{'CAD': {'price': 2302.6123024181707, 'volume_24h': 17031541746.8582, 'volume_change_24h': -36.4081, 'percent_change_1h': -0.58608477, 'percent_change_24h': 1.77972516, 'percent_change_7d': 11.53788689, 'percent_change_30d': -6.28474285, 'percent_change_60d': 68.42200071, 'percent_change_90d': 29.49347741, 'market_cap': 281655665344.0371, 'market_cap_dominance': 20.3475, 'fully_diluted_market_cap': 281655665344.03455, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
BNB,BNB,BNB,161337261.09,"{'CAD': {'price': 385.37474623997, 'volume_24h': 1095522805.5318592, 'volume_change_24h': -27.5863, 'percent_change_1h': -0.50093475, 'percent_change_24h': -0.02219155, 'percent_change_7d': 4.21771078, 'percent_change_30d': -8.59905204, 'percent_change_60d': 32.62167226, 'percent_change_90d': 21.75855624, 'market_cap': 62175306051.61054, 'market_cap_dominance': 4.4901, 'fully_diluted_market_cap': 77074949247.9897, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
XRP,XRP,XRP,99989302361,"{'CAD': {'price': 0.4661248582259167, 'volume_24h': 992044971.5844489, 'volume_change_24h': -51.3473, 'percent_change_1h': -0.3988451, 'percent_change_24h': -0.07896839, 'percent_change_7d': 6.51198241, 'percent_change_30d': -5.49254549, 'percent_change_60d': 14.43902541, 'percent_change_90d': 7.64091519, 'market_cap': 23225147334.901062, 'market_cap_dominance': 1.677, 'fully_diluted_market_cap': 46612485822.586235, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
ADA,Cardano,ADA,34854947575.48,"{'CAD': {'price': 0.6695300340112527, 'volume_24h': 1133606922.9738142, 'volume_change_24h': -11.2229, 'percent_change_1h': -0.21353293, 'percent_change_24h': -1.38985828, 'percent_change_7d': 3.01175973, 'percent_change_30d': -2.88265538, 'percent_change_60d': 22.374308, 'percent_change_90d': 9.17843846, 'market_cap': 22885905184.08384, 'market_cap_dominance': 1.6533, 'fully_diluted_market_cap': 30128851530.510193, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
SOL,Solana,SOL,511616946.142289,"{'CAD': {'price': 45.89164091666547, 'volume_24h': 925335689.576274, 'volume_change_24h': -38.6716, 'percent_change_1h': 0.32590969, 'percent_change_24h': 0.56614147, 'percent_change_7d': 10.57926859, 'percent_change_30d': -18.11612673, 'percent_change_60d': 6.78764692, 'percent_change_90d': 20.32088472, 'market_cap': 16212799357.762487, 'market_cap_dominance': 1.1707, 'fully_diluted_market_cap': 23478941179.246662, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
DOGE,Dogecoin,DOGE,132670764299.89409,"{'CAD': {'price': 0.08455049392546007, 'volume_24h': 528685638.64698035, 'volume_change_24h': -17.7927, 'percent_change_1h': -0.5964268, 'percent_change_24h': 1.17768753, 'percent_change_7d': 1.62371546, 'percent_change_30d': -8.68564364, 'percent_change_60d': 7.54498137, 'percent_change_90d': 5.33998832, 'market_cap': 11217378651.024342, 'market_cap_dominance': 0.8101, 'fully_diluted_market_cap': 11217378651.023539, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
DOT,Polkadot,DOT,1231096722.999349,"{'CAD': {'price': 10.151646004270251, 'volume_24h': 393707380.8503825, 'volume_change_24h': -39.7708, 'percent_change_1h': -0.12161749, 'percent_change_24h': -0.30359875, 'percent_change_7d': 4.31964808, 'percent_change_30d': -15.34657839, 'percent_change_60d': 22.67507737, 'percent_change_90d': 9.20118088, 'market_cap': 11325917887.251722, 'market_cap_dominance': 0.8179, 'fully_diluted_market_cap': 12497658128.90084, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
MATIC,Polygon,MATIC,10000000000,"{'CAD': {'price': 1.1768144762959565, 'volume_24h': 501763444.25026053, 'volume_change_24h': -13.1932, 'percent_change_1h': -0.81434042, 'percent_change_24h': 1.27977822, 'percent_change_7d': 0.02885278, 'percent_change_30d': -2.00257914, 'percent_change_60d': 65.9876993, 'percent_change_90d': 88.02224948, 'market_cap': 10278671245.480055, 'market_cap_dominance': 0.7422, 'fully_diluted_market_cap': 11768144762.960987, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
SHIB,Shiba Inu,SHIB,589735030408322.8,"{'CAD': {'price': 1.7139857510949628e-05, 'volume_24h': 875556182.0843787, 'volume_change_24h': -27.2308, 'percent_change_1h': -1.36634901, 'percent_change_24h': 1.36301397, 'percent_change_7d': 4.6149373, 'percent_change_30d': 6.31316373, 'percent_change_60d': 30.99925, 'percent_change_90d': 57.96631387, 'market_cap': 9410866364.434612, 'market_cap_dominance': 0.6796, 'fully_diluted_market_cap': 10107974390.417072, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
AVAX,Avalanche,AVAX,404229626.49901325,"{'CAD': {'price': 26.86887307787436, 'volume_24h': 444427876.6107271, 'volume_change_24h': -23.3778, 'percent_change_1h': -0.06877205, 'percent_change_24h': -1.12060144, 'percent_change_7d': 6.55602049, 'percent_change_30d': -28.42015278, 'percent_change_60d': 22.18861607, 'percent_change_90d': 26.62348873, 'market_cap': 7944018202.085923, 'market_cap_dominance': 0.5736, 'fully_diluted_market_cap': 19345588616.07163, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
UNI,Uniswap,UNI,1000000000,"{'CAD': {'price': 8.588937237200437, 'volume_24h': 161423839.61094508, 'volume_change_24h': -23.2859, 'percent_change_1h': -1.50531602, 'percent_change_24h': 0.13208399, 'percent_change_7d': 1.90242777, 'percent_change_30d': -27.71997581, 'percent_change_60d': 16.53314659, 'percent_change_90d': 67.70264988, 'market_cap': 6406451262.740583, 'market_cap_dominance': 0.4626, 'fully_diluted_market_cap': 8588937237.205544, 'tvl': 7372457347.357639, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
ETC,Ethereum Classic,ETC,210700000,"{'CAD': {'price': 50.88187041738288, 'volume_24h': 1269455666.9110181, 'volume_change_24h': -40.2766, 'percent_change_1h': -0.30705093, 'percent_change_24h': -1.37508146, 'percent_change_7d': 19.43647881, 'percent_change_30d': -6.06298064, 'percent_change_60d': 180.07098592, 'percent_change_90d': 146.9837317, 'market_cap': 6960788119.635012, 'market_cap_dominance': 0.5029, 'fully_diluted_market_cap': 10720810096.946024, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
LTC,Litecoin,LTC,84000000,"{'CAD': {'price': 83.06999457934664, 'volume_24h': 792249023.9438349, 'volume_change_24h': -1.8742, 'percent_change_1h': -0.30021612, 'percent_change_24h': 3.26370586, 'percent_change_7d': 4.5781181, 'percent_change_30d': 3.04659526, 'percent_change_60d': 33.53178724, 'percent_change_90d': 38.84615846, 'market_cap': 5909803457.19134, 'market_cap_dominance': 0.4268, 'fully_diluted_market_cap': 6977879544.668508, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
ATOM,Cosmos,ATOM,0,"{'CAD': {'price': 20.615852008444595, 'volume_24h': 758634609.082641, 'volume_change_24h': -52.7516, 'percent_change_1h': -0.57865653, 'percent_change_24h': -2.08343587, 'percent_change_7d': 24.22862934, 'percent_change_30d': 34.87196799, 'percent_change_60d': 103.0914937, 'percent_change_90d': 132.08533862, 'market_cap': 5903767662.566325, 'market_cap_dominance': 0.4265, 'fully_diluted_market_cap': 0, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
NEAR,NEAR Protocol,NEAR,1000000000,"{'CAD': {'price': 6.23244747353102, 'volume_24h': 380041254.21277565, 'volume_change_24h': -20.4852, 'percent_change_1h': -0.40171804, 'percent_change_24h': -1.40415092, 'percent_change_7d': 12.59383614, 'percent_change_30d': -16.54526181, 'percent_change_60d': 48.81217145, 'percent_change_90d': 36.00282819, 'market_cap': 4862868973.562136, 'market_cap_dominance': 0.3511, 'fully_diluted_market_cap': 6232447473.531617, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
LINK,Chainlink,LINK,1000000000,"{'CAD': {'price': 10.325337234555041, 'volume_24h': 641623665.1587161, 'volume_change_24h': -14.0326, 'percent_change_1h': -0.34381294, 'percent_change_24h': 1.15256838, 'percent_change_7d': 13.09399956, 'percent_change_30d': -11.59625632, 'percent_change_60d': 32.04005966, 'percent_change_90d': 32.35970557, 'market_cap': 5075935479.422317, 'market_cap_dominance': 0.3667, 'fully_diluted_market_cap': 10325337234.54886, 'tvl': None, 'last_updated': '2022-09-11T02:03:26.000Z'}}"
