,name,symbol,total_supply,MarketCap,price
BTC,Bitcoin,BTC,19155262,494232676998.8745,25801.405222172085
ETH,Ethereum,ETH,122438765.499,220747250210.6516,1802.9196007571193
BNB,BNB,BNB,161337261.09,57564231200.950356,356.7943995828643
XRP,XRP,XRP,99989302361,25703390925.126842,0.5158627963963829
ADA,Cardano,ADA,34854947575.48,20586769217.076492,0.6022685221852985
SOL,Solana,SOL,511616946.142289,15374692349.722467,43.41721463081445
DOGE,Dogecoin,DOGE,132670764299.89409,10270518729.611988,0.077413579275055
DOT,Polkadot,DOT,1233857154.1995313,9481659119.668179,8.477624513549866
MATIC,Polygon,MATIC,10000000000,8884064027.064207,1.0171446197373761
SHIB,Shiba Inu,SHIB,589735030408322.8,7992304680.671861,1.4556254239090066e-05
AVAX,Avalanche,AVAX,404229626.49901325,6742512463.705649,22.79796212298117
UNI,Uniswap,UNI,1000000000,5545547803.723733,7.275623126956668
ETC,Ethereum Classic,ETC,210700000,5471441193.153172,39.95146353993051
LTC,Litecoin,LTC,84000000,4960027691.628854,69.65815559585708
ATOM,Cosmos,ATOM,0,5945776367.544571,20.76254566144676
NEAR,NEAR Protocol,NEAR,1000000000,4184833788.4351335,5.316100271826285
LINK,Chainlink,LINK,1000000000,4774507303.334601,9.71217980126617
CRO,Cronos,CRO,30263013692,3495677656.7774315,0.13837136374131018
XLM,Stellar,XLM,50001787588.2682,3718042852.823652,0.14656466282892236
FLOW,Flow,FLOW,1392681892,2318047749.176452,2.237065961374688
VET,VeChain,VET,85985041177,2196323836.8273,0.030289465072946217
